tick,state,population,water_supply,food_supply,energy_supply,water_generated,food_generated,energy_generated,water_consumed,food_consumed,energy_consumed,state_gdp,gdp_growth_rate,welfare_index,inequality_index,migration_in,migration_out,order_type,resource_type,trade_quantity,trade_price,trade_executed,climate_event,shock_intensity
103,Karnataka,105607128,28052.983001002645,78164.89790246793,42943.78301241245,6226.459208488551,4852.506190003452,4442.984469153904,4076.1118932094787,4039.589622717251,8410.898431784904,1535.0383250944294,-1.70857965028405,0.3067807071648102,0.6915358440151703,104293,476149,BID,Water,2265.239655156146,2.9613788491449804,1,Heatwave,0.06792770989521557
52,Gujarat,116445303,40825.1877783329,76349.73573370755,47852.80683521259,7910.751999948441,4752.892235266962,592.8673701266877,11179.667847622359,3868.1600715161085,387.62451535635677,1456.8203176087416,13.495036046099568,0.24680126087461007,0.1487982905884232,240835,229090,BID,Water,3036.784560558014,3.2575890474230143,0,Drought,0.42737091675473404
93,Gujarat,37424048,75179.99825477928,25383.53834146682,27244.07523026135,7303.88486288324,9858.366570385246,1819.0165498605286,5849.294031272393,1582.9357629119945,10550.628699047877,2329.3552371414025,3.4153777021690956,0.8967916380013556,0.9141607455060686,386497,191387,BID,Energy,9355.173651407345,6.138271541369538,0,None,0.1487504459934671
15,Punjab,103193084,8225.288758364135,86405.50935711632,29591.59958580989,7550.958822587034,5240.224506161985,1617.2763279136284,2660.6262897971624,11711.906427953125,7450.981908801291,1586.2369712367713,4.321159943458275,0.7283665358273576,0.7491439488729587,267519,12975,ASK,Energy,5248.757098391878,8.073110436019729,0,Heatwave,0.3570304639476899
107,Rajasthan,58126965,66295.15251417132,59311.322521272195,98136.26791268797,2004.6314614041792,1456.7492477886406,6210.9587760465765,10774.883543272364,7044.774059936196,3044.8533310153693,781.0749526722382,9.514554900412683,0.5525981375358373,0.8974506958383557,108918,284950,ASK,Food,664.9231219260736,2.7817601077544603,1,Flood,0.7013869436955255
72,Uttar Pradesh,42745965,71885.35045235151,48389.99739706216,88996.43597834728,9126.199010078286,2873.542621786926,4176.803799506111,6903.120797393089,7118.595617958999,8189.945788487349,3796.874382657425,-2.51739242159412,0.24359399776398616,0.28840922350489795,253659,79338,BID,Food,7476.025899857015,3.2676224244413343,1,Cyclone,0.6854097527422053
61,Karnataka,76043011,65738.2156226494,2732.133860924091,19995.028239382504,4200.071926663998,3403.4529392890327,3311.4412266023746,4500.773724898845,4651.228010693417,6221.327634054867,1500.5062520482334,-1.0947243789952732,0.1559182036960789,0.5843648485626451,20213,170253,ASK,Water,2861.4350086052796,8.40089350821168,1,Heatwave,0.6217214638369404
21,Karnataka,119978012,76306.29417858801,38891.37740056731,28276.943108628362,209.97940641181387,9588.822685270017,4494.660394946588,8617.091524964322,9247.348224880654,8636.913759229285,1896.7184041353726,-1.994378635110583,0.5912904560405706,0.8036161569239837,164704,213972,BID,Energy,1387.117173946714,4.353640138629758,1,Flood,0.7903572640298675
103,West Bengal,91047037,18638.69298626099,64426.40605533064,11756.151313163742,6714.152202640139,2713.9701032001462,3309.7190915067986,5349.346941518417,5760.233723883315,5726.583333811154,4520.163326446392,4.588653009401476,0.12878652667238455,0.41576260301758283,232729,30580,ASK,Energy,7358.005955277635,5.85759450823252,0,Cyclone,0.9901054635853039
83,Tamil Nadu,59645731,59123.2321512407,9885.035931149961,98898.20751498944,6079.627710540699,4360.98909960183,7598.951214451596,8786.745626755193,8932.743501886152,1319.44108842684,3327.936480966504,6.742903700872526,0.45274193213769787,0.33998005790434993,58642,298753,ASK,Energy,2261.098051820732,6.092787720313754,1,Drought,0.4430360782645826
